Genus	Outgroup
Illicium	Amborella
Illicium	Magnolia
Illicium	Yulania
Schisandra	Amborella
Schisandra	Magnolia
Schisandra	Yulania
Cornus	Alangium
Cornus	Nyssa
Pieris	Agarista
Pieris	Craibiodendron
Pieris	Styrax
Lyonia	Agarista
Lyonia	Craibiodendron
Lyonia	Styrax
Stewartia	Franklina
Stewartia	Gordonia
Stewartia	Styrax
Stewartia	Schima
Cercis	Cassia
Cercis	Polygala
Cercis	Quillaja
Cercis	Bauhinia
Cercis	Gymnocladus
Wisteria	Cassia
Wisteria	Polygala
Wisteria	Quillaja
Wisteria	Bauhinia
Wisteria	Gymnocladus
Cladrastis	Cassia
Cladrastis	Polygala
Cladrastis	Quillaja
Cladrastis	Bauhinia
Cladrastis	Gymnocladus
Gleditsia	Cassia
Gleditsia	Polygala
Gleditsia	Quillaja
Gleditsia	Bauhinia
Gleditsia	Gymnocladus
Carpinus	Lithocarpus
Carpinus	Juglans
Ostrya	Lithocarpus
Ostrya	Juglans
Corylus	Lithocarpus
Corylus	Juglans
Quercus	Lithocarpus
Quercus	Castanopsis
Quercus	Juglans
Fagus	Lithocarpus
Fagus	Castanopsis
Fagus	Juglans
Castanea	Lithocarpus
Castanea	Castanopsis
Castanea	Juglans
Carya	Lithocarpus
Carya	Castanopsis
Carya	Juglans
Catalpa	Chilopsis
Fraxinus	Osmanthus
Calycanthus	Chimonanthus
Sassafras	Cinnamomum
Sassafras	Lindera
Smilax	Aloe
Smilax	Allium
Liriodendron	Amborella
Liriodendron	Magnolia
Liriodendron	Yulania
Liriodendron	Populus
Pinus	Amentotaxus
Pinus	Cephalotaxus
Pinus	Taxus
Torreya	Amentotaxus
Torreya	Cephalotaxus
Torreya	Taxus
Celtis	Aphananthe
Celtis	Lozanella
Acer	Billia
Acer	Handeliodendron
Aesculus	Billia
Aesculus	Handeliodendron
Altingia	Fothergilla
Altingia	Loropetalum
Altingia	Parrotiopsis
Altingia	Rhodoleia
Altingia	Semiliquidambar
Hamamelis	Fothergilla
Hamamelis	Loropetalum
Hamamelis	Parrotiopsis
Hamamelis	Rhodoleia
Hamamelis	Semiliquidambar
Liquidambar	Fothergilla
Liquidambar	Loropetalum
Liquidambar	Parrotiopsis
Liquidambar	Rhodoleia
Liquidambar	Semiliquidambar
Parthenocissus	Yua
Parthenocissus	Cissus
Parthenocissus	Semiliquidambar
Parthenocissus	Yua
Parthenocissus	Ampelopsis
Parthenocissus	Tetrastigma
Parthenocissus	Vitis

